flightID,wingLength,wingWidth,bodyWidth,bodyLength,paperWeight,directionOfFold,time
1,55,30,30,50,light,against,11.8
2,55,30,10,110,heavy,against,8.29
3,55,30,10,110,light,with,9
4,55,30,30,50,heavy,with,7.21
5,55,50,70,110,heavy,with,6.65
6,55,50,50,50,light,with,10.26
7,55,50,50,50,heavy,against,7.98
8,55,50,70,110,light,against,8.06
9,115,30,10,50,heavy,with,9.2
10,115,30,30,110,light,with,19.35
11,115,30,30,110,heavy,against,12.08
12,115,30,10,50,light,against,20.5
13,115,50,50,110,light,against,13.58
14,115,50,70,50,heavy,against,7.47
15,115,50,70,50,light,with,9.79
16,115,50,50,110,heavy,with,9.2
17,85,40,40,80,light,against,10.52
18,85,40,40,80,light,against,10.81
19,85,40,40,80,light,against,10.89
20,85,40,40,80,heavy,against,15.91
21,85,40,40,80,heavy,against,16.08
22,85,40,40,80,heavy,against,13.88
23,85,40,40,60,light,against,12.99
24,95,36.1,32.2,60,light,against,15.22
25,105,32.2,24.4,60,light,against,16.34
26,115,28.3,26.6,60,light,against,18.78
27,125,24.4,18.8,60,light,against,17.39
28,135,20.5,11,60,light,against,7.24
29,105,24.4,18.8,60,light,against,13.65
30,125,24.4,18.8,60,light,against,13.74
31,105,32.2,34.4,60,light,against,15.48
32,125,32.2,34.4,60,light,against,13.53
33,115,28.3,26.6,60,light,against,17.38
34,115,28.3,26.6,60,light,against,16.35
35,115,28.3,26.6,60,light,against,16.41
36,100.8,28.3,26.6,60,light,against,12.51
37,129.1,28.3,26.6,60,light,against,15.17
38,115,22.8,15.6,60,light,against,14.86
39,115,33.8,37.6,60,light,against,11.85
40,111.8,29.4,28.8,60,light,against,15.54
41,111.8,29.4,28.8,60,light,against,16.4
42,111.8,29.4,28.8,60,light,against,19.67
43,111.8,29.4,28.8,60,light,against,19.41
44,111.8,29.4,28.8,60,light,against,18.55
45,111.8,29.4,28.8,60,light,against,17.29
